"순위별(1)",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"순위별(1)",상병별,진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),상병별,진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),상병별,진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),상병별,진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"1위",K05_치은염및치주질환,2995167,7459930,15704736,305232653,218561522,K05_치은염및치주질환,3024732,7580019,16452861,328744008,235378894,K05_치은염및치주질환,3456340,8878783,18924094,401865631,286538817,K05_치은염및치주질환,3760928,9598630,20327299,456260547,324801933
"2위",I10_본태성(원발성)고혈압,2854312,23263695,761811522,1737156740,1260898112,I10_본태성(원발성)고혈압,3001734,23560995,838347702,1921387289,1395176103,I10_본태성(원발성)고혈압,3164224,24417513,890271593,2096684812,1523666575,U07_U07의응급사용,3541852,15134903,37534425,1755006102,1335477905
"3위",J20_급성기관지염,2114713,6044881,33579811,193791696,153728129,M17_무릎관절증,1549980,11975881,94008075,1134777156,839946371,M17_무릎관절증,1659711,12508073,102005659,1246029971,915003640,I10_본태성(원발성)고혈압,3316612,24929639,926159024,2239303786,1629339369
"4위",M54_등통증,1640689,11743482,53445749,415861745,319118948,M54_등통증,1543996,10341050,53147242,417892339,317893862,M54_등통증,1635288,10572149,55876627,471783469,355908823,J20_급성기관지염,1899702,4530609,31264316,174287639,137918461
"5위",M17_무릎관절증,1631691,13543604,96313918,1195715154,894171458,E11_2형당뇨병,1402843,10972378,357992857,1266428647,897223676,E11_2형당뇨병,1512474,11509083,388081549,1397175217,988323920,M17_무릎관절증,1779555,12988395,110927103,1346802491,978016418
"6위",E11_2형당뇨병,1315765,10715409,321757416,1137789939,805146103,J20_급성기관지염,1377138,3837982,25655501,132832714,104086447,K21_위-식도역류병,1316146,3598418,70006515,247850001,174913160,M54_등통증,1712344,10421305,58147208,533651464,397738252
"7위",K29_위염및십이지장염,1204310,2822893,32933405,136248973,99011942,K21_위-식도역류병,1224521,3453854,64725805,226261754,159633635,K29_위염및십이지장염,1213909,2734212,37254599,155391519,112490350,E11_2형당뇨병,1609486,11890859,417429408,1513648933,1070434533
"8위",K21_위-식도역류병,1186512,3284517,58657995,205384925,143374580,K29_위염및십이지장염,1131527,2634344,34112201,137433109,99994329,M48_기타척추병증,1174879,8825360,70111584,663352372,483221744,K21_위-식도역류병,1353554,3500483,70485941,253796790,179732027
"9위",K08_치아및지지구조의기타장애,1168526,3699834,6450215,1574772768,1106442964,K08_치아및지지구조의기타장애,1116850,3428366,6110808,1523323962,1070472293,K08_치아및지지구조의기타장애,1161540,3509945,6481079,1574424053,1106415995,K29_위염및십이지장염,1267168,2729218,39114916,168296622,121898194
"10위",M48_기타척추병증,1140479,9307288,66082686,599388280,435688034,M48_기타척추병증,1095935,8454041,65630061,605968895,442330346,L23_앨러지성접촉피부염,987493,2523879,17572192,78801582,63214760,M48_기타척추병증,1229196,8736965,72288489,704002764,509877034
"11위",L23_앨러지성접촉피부염,962282,2556242,16383460,73165747,58998967,L23_앨러지성접촉피부염,961895,2559453,17415091,76824911,61735856,J20_급성기관지염,919070,2401287,17933464,88555466,69116849,K08_치아및지지구조의기타장애,1204214,3590612,6661712,1650254699,1159842121
"12위",K04_치수및근단주위조직의질환,923051,3262797,5394395,125380965,91081165,K04_치수및근단주위조직의질환,886873,3086850,5236450,125891963,91213181,K04_치수및근단주위조직의질환,911218,3103517,5331572,136174450,98150740,L23_앨러지성접촉피부염,981517,2436931,17482634,79482578,63676525
"13위",H10_결막염,828649,1898100,6958107,67387652,53577977,N40_전립선증식증,791588,4145564,162825781,428905962,289044286,N40_전립선증식증,841569,4315952,174575934,467495090,315150172,Z11_감염성및기생충성질환에대한특수선별검사,951384,3149074,5091092,102354717,73056819
"14위",H25_노년백내장,814357,2719024,10436913,459795539,359703990,H10_결막염,790292,1767238,7058309,68215523,53828794,H10_결막염,825240,1811104,7362105,74992667,58524806,K04_치수및근단주위조직의질환,914297,3033462,5271767,139003330,99971709
